         19712 function calls (18393 primitive calls) in 0.248 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.248    0.248 /Users/bryceharmon/Desktop/nextreel-lite/profiling/profiling.py:62(wrapped_async)
        2    0.000    0.000    0.211    0.105 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/memory_profiler.py:269(memory_usage)
        2    0.210    0.105    0.210    0.105 {built-in method time.sleep}
        1    0.000    0.000    0.037    0.037 /Users/bryceharmon/Desktop/nextreel-lite/app.py:99(home)
        1    0.000    0.000    0.037    0.037 /Users/bryceharmon/Desktop/nextreel-lite/movie_manager.py:55(home)
        1    0.000    0.000    0.035    0.035 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/quart/templating.py:37(render_template)
        5    0.000    0.000    0.033    0.007 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/environment.py:975(get_template)
        5    0.000    0.000    0.033    0.007 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/environment.py:950(_load_template)
        5    0.000    0.000    0.032    0.006 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/loaders.py:107(load)
        5    0.000    0.000    0.025    0.005 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/environment.py:728(compile)
        1    0.000    0.000    0.019    0.019 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/quart/templating.py:62(_render)
        1    0.000    0.000    0.019    0.019 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/environment.py:1303(render_async)
        1    0.000    0.000    0.019    0.019 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/environment.py:1321(<listcomp>)
       26    0.000    0.000    0.019    0.001 /Users/bryceharmon/Desktop/nextreel-lite/templates/home.html:4(root)
        5    0.000    0.000    0.016    0.003 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/environment.py:613(_parse)
        1    0.000    0.000    0.016    0.016 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/environment.py:1066(get_or_select_template)
        5    0.000    0.000    0.011    0.002 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/parser.py:1028(parse)
        5    0.000    0.000    0.010    0.002 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/parser.py:979(subparse)
  235/113    0.000    0.000    0.009    0.000 {built-in method builtins.next}
      113    0.000    0.000    0.009    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/lexer.py:378(__next__)
      108    0.000    0.000    0.009    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/lexer.py:613(wrap)
        5    0.000    0.000    0.007    0.001 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/flask/templating.py:60(get_source)
        5    0.000    0.000    0.007    0.001 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/flask/templating.py:91(_get_source_fast)
        5    0.000    0.000    0.007    0.001 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/environment.py:677(_generate)
        5    0.000    0.000    0.007    0.001 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/loaders.py:192(get_source)
        5    0.000    0.000    0.006    0.001 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/compiler.py:101(generate)
    305/5    0.000    0.000    0.006    0.001 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/visitor.py:35(visit)
        5    0.000    0.000    0.006    0.001 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/compiler.py:826(visit_Template)
        5    0.000    0.000    0.005    0.001 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/parser.py:51(__init__)
        5    0.000    0.000    0.005    0.001 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/environment.py:656(_tokenize)
        6    0.005    0.001    0.005    0.001 {method 'read' of '_io.BufferedReader' objects}
      147    0.002    0.000    0.005    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/lexer.py:667(tokeniter)
    25/12    0.000    0.000    0.004    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/parser.py:513(parse_expression)
    25/12    0.000    0.000    0.004    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/parser.py:522(parse_condexpr)
    25/12    0.000    0.000    0.004    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/parser.py:537(parse_or)
    25/12    0.000    0.000    0.004    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/parser.py:546(parse_and)
    25/12    0.000    0.000    0.004    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/parser.py:555(parse_not)
        5    0.000    0.000    0.004    0.001 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/environment.py:452(lexer)
        5    0.000    0.000    0.004    0.001 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/lexer.py:426(get_lexer)
    25/12    0.000    0.000    0.004    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/parser.py:561(parse_compare)
        8    0.000    0.000    0.004    0.001 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/parser.py:678(parse_tuple)
        1    0.000    0.000    0.004    0.004 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/lexer.py:477(__init__)
    25/12    0.000    0.000    0.004    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/parser.py:584(parse_math1)
    25/12    0.000    0.000    0.004    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/parser.py:595(parse_concat)
    25/12    0.000    0.000    0.004    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/parser.py:605(parse_math2)
    25/12    0.000    0.000    0.004    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/parser.py:616(parse_pow)
    25/12    0.000    0.000    0.004    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/parser.py:626(parse_unary)
       10    0.000    0.000    0.004    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/lexer.py:481(c)
       10    0.000    0.000    0.004    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/re.py:250(compile)
